Year,Initial Investment,Wins,Losses,Total Weeks,Final Capital,Net Profit (After Tax),Net Profit %,Next Year Investment
2016,200000.0,48,5,53,310634.57,88507.66,44.25,288507.66
2017,288507.66,52,0,52,602359.11,251081.16,87.03,539588.82
2018,539588.82,50,2,52,1025581.47,388794.12,72.05,928382.94
2019,928382.94,49,3,52,1681598.94,602572.8,64.91,1530955.74
2020,1530955.74,37,15,52,1423297.57,-107658.17,-7.03,1423297.57
2021,1423297.57,47,6,53,2222095.43,639038.29,44.9,2062335.86
2022,2062335.86,46,6,52,3181344.99,895207.3,43.41,2957543.16
2023,2957543.16,52,0,52,6391159.14,2746892.78,92.88,5704435.94
2024,5704435.94,49,3,52,10447393.24,3794365.84,66.52,9498801.78
2025,9498801.78,49,3,52,17408735.41,6327946.91,66.62,15826748.69
