"Date","Price","Open","High","Low","Vol.","Change %"
"07-07-2024","79,996.60","79,043.35","80,392.64","78,971.79","55.74M","1.22%"
"30-06-2024","79,032.73","76,885.65","79,671.58","76,745.94","58.15M","2.36%"
"23-06-2024","77,209.90","77,235.31","77,851.63","76,802.00","50.47M","0.28%"
"16-06-2024","76,992.77","76,935.41","77,145.46","76,296.44","53.52M","0.39%"
"09-06-2024","76,693.36","76,583.29","76,795.31","70,234.43","117.93M","3.69%"
"02-06-2024","73,961.31","75,655.46","76,009.68","73,668.73","56.34M","-1.92%"
"26-05-2024","75,410.39","73,842.96","75,636.50","73,762.37","39.43M","1.90%"
"19-05-2024","74,005.94","72,476.65","74,162.76","71,866.01","51.40M","1.85%"
"12-05-2024","72,664.47","74,196.68","74,359.69","72,334.18","45.82M","-1.64%"
"05-05-2024","73,878.15","73,982.75","75,111.39","73,467.73","52.40M","0.20%"
"28-04-2024","73,730.16","73,666.51","74,571.25","73,227.32","49.61M","0.88%"
"21-04-2024","73,088.33","73,315.16","73,905.80","71,816.46","50.59M","-1.56%"
"14-04-2024","74,244.90","74,555.44","75,124.28","74,189.31","72.02M","0.00%"
"07-04-2024","74,248.22","73,968.62","74,501.73","73,485.12","49.31M","0.81%"
"31-03-2024","73,651.35","72,396.97","74,190.31","72,363.03","54.88M","1.13%"
"24-03-2024","72,831.94","72,587.30","73,115.62","71,674.42","96.71M","0.26%"
"17-03-2024","72,643.43","74,175.93","74,187.35","72,484.82","503.79M","-1.99%"
"10-03-2024","74,119.39","73,903.09","74,245.17","73,321.48","64.68M","0.42%"
"03-03-2024","73,806.15","73,044.81","73,994.70","72,099.32","64.47M","0.91%"
"25-02-2024","73,142.80","72,627.60","73,413.93","72,081.36","51.12M","0.99%"
"18-02-2024","72,426.64","71,722.31","72,545.33","70,809.84","52.79M","1.16%"
"11-02-2024","71,595.49","72,269.12","72,559.21","71,200.31","76.58M","-0.68%"
"04-02-2024","72,085.63","70,968.10","73,089.40","70,846.04","68.71M","1.96%"
"28-01-2024","70,700.67","71,868.20","72,039.20","70,001.60","63.60M","-1.01%"
"21-01-2024","71,423.65","73,049.87","73,427.59","70,665.50","88.44M","-1.58%"
"14-01-2024","72,568.45","72,113.25","72,720.96","71,110.98","58.02M","0.75%"
"07-01-2024","72,026.15","72,218.39","72,561.91","71,303.97","47.29M","-0.30%"
"31-12-2023","72,240.26","71,097.78","72,484.34","71,012.08","45.14M","1.59%"
"24-12-2023","71,106.96","71,437.35","71,913.07","69,920.39","58.28M","-0.53%"
"17-12-2023","71,483.75","69,925.63","71,605.76","69,100.56","63.80M","2.37%"
"10-12-2023","69,825.60","68,435.34","69,893.80","68,274.47","95.04M","3.47%"
"03-12-2023","67,481.19","66,063.72","67,564.33","65,906.65","46.16M","2.29%"
"26-11-2023","65,970.04","65,787.51","66,235.24","65,547.80","35.21M","0.27%"
"19-11-2023","65,794.73","65,158.31","66,358.37","64,853.36","37.68M","0.82%"
"12-11-2023","65,259.45","64,835.23","65,418.98","64,580.95","46.58M","1.39%"
"05-11-2023","64,363.78","63,885.56","64,535.19","63,431.45","49.20M","0.91%"
"29-10-2023","63,782.80","65,419.02","65,453.92","63,092.98","39.36M","-2.47%"
"22-10-2023","65,397.62","66,238.15","66,559.82","65,308.61","46.86M","-1.34%"
"15-10-2023","66,282.74","65,560.07","66,592.16","65,434.61","49.71M","0.44%"
"08-10-2023","65,995.63","65,813.42","66,095.81","64,878.77","35.50M","0.25%"
"01-10-2023","65,828.41","66,082.99","66,406.01","65,423.39","34.95M","-0.27%"
"24-09-2023","66,009.15","67,665.58","67,803.15","65,952.83","40.38M","-2.70%"
"17-09-2023","67,838.63","66,807.73","67,927.23","66,735.84","39.07M","1.86%"
"10-09-2023","66,598.91","65,525.91","66,766.92","65,285.56","44.11M","1.85%"
"03-09-2023","65,387.16","64,908.08","65,473.27","64,723.63","157.21M","0.77%"
"27-08-2023","64,886.51","64,852.70","65,913.77","64,732.57","79.45M","-0.10%"
"20-08-2023","64,948.66","65,153.02","65,605.74","64,754.72","28.25M","-0.57%"
"13-08-2023","65,322.65","65,811.40","66,067.90","65,274.61","33.66M","-0.61%"
"06-08-2023","65,721.25","66,156.39","66,658.12","64,963.08","47.70M","-0.66%"
"30-07-2023","66,160.20","66,629.14","66,984.17","65,878.65","50.88M","-0.79%"
"23-07-2023","66,684.26","66,148.18","67,619.17","66,015.63","47.37M","0.94%"
"16-07-2023","66,060.90","65,482.33","66,159.79","65,246.40","51.96M","1.20%"
"09-07-2023","65,280.45","64,836.16","65,898.98","64,836.16","45.66M","0.87%"
"02-07-2023","64,718.56","62,946.50","64,768.58","62,853.67","45.20M","2.76%"
"25-06-2023","62,979.37","63,474.21","63,601.71","62,801.91","31.57M","-0.64%"
"18-06-2023","63,384.58","62,659.98","63,520.36","62,615.20","34.61M","1.21%"
"11-06-2023","62,625.63","62,759.19","63,321.40","62,554.21","73.46M","0.13%"
"04-06-2023","62,547.11","62,801.54","63,036.12","62,359.14","39.10M","0.07%"
"28-05-2023","62,501.69","61,579.78","62,529.83","61,484.66","37.49M","1.25%"
"21-05-2023","61,729.68","62,157.10","62,562.67","61,251.70","33.72M","-0.48%"
"14-05-2023","62,027.90","61,166.09","62,168.22","61,166.09","32.69M","1.59%"
"07-05-2023","61,054.29","61,301.61","61,797.91","61,002.17","26.45M","-0.10%"
"30-04-2023","61,112.44","59,873.71","61,209.46","59,620.11","30.40M","2.44%"
"23-04-2023","59,655.06","60,385.90","60,407.86","59,412.81","42.61M","-1.28%"
"16-04-2023","60,431.00","59,858.98","60,486.91","59,766.23","30.34M","1.00%"
"09-04-2023","59,832.97","59,131.16","59,950.06","58,793.08","14.01M","1.43%"
"02-04-2023","58,991.52","57,566.90","59,068.47","57,415.02","22.85M","2.55%"
"26-03-2023","57,527.10","57,773.55","58,418.78","57,084.91","23.55M","-0.80%"
"19-03-2023","57,989.90","59,033.77","59,510.92","57,158.69","40.03M","-1.94%"
"12-03-2023","59,135.13","60,007.04","60,498.48","58,884.98","26.39M","-1.13%"
"05-03-2023","59,808.97","59,331.31","59,967.04","58,795.97","34.62M","0.58%"
"26-02-2023","59,463.93","61,112.84","61,290.19","59,325.34","31.70M","-2.52%"
"19-02-2023","61,002.57","60,652.82","61,682.25","60,245.05","33.58M","0.53%"
"12-02-2023","60,682.70","60,847.21","60,863.63","60,063.49","48.16M","-0.26%"
"05-02-2023","60,841.88","59,101.69","60,905.34","58,699.20","65.19M","2.55%"
"29-01-2023","59,330.90","60,876.01","61,266.06","58,974.70","37.12M","-2.13%"
"22-01-2023","60,621.77","60,550.50","61,110.25","59,963.83","34.87M","0.60%"
"15-01-2023","60,261.18","60,147.07","60,889.41","59,628.43","39.57M","0.60%"
"08-01-2023","59,900.37","60,871.24","61,343.96","59,669.91","50.71M","-1.55%"
"01-01-2023","60,840.74","59,755.08","61,392.68","59,754.10","43.51M","1.66%"
"25-12-2022","59,845.29","61,405.80","62,006.46","59,765.56","33.09M","-2.43%"
"18-12-2022","61,337.81","61,770.56","62,835.11","61,292.53","37.29M","-1.36%"
"11-12-2022","62,181.67","62,865.28","62,939.63","61,889.11","45.00M","-1.09%"
"04-12-2022","62,868.50","62,016.35","63,583.07","61,959.74","50.82M","0.92%"
"27-11-2022","62,293.64","61,456.33","62,447.73","61,059.33","42.20M","1.02%"
"20-11-2022","61,663.48","61,765.86","62,052.57","61,337.43","58.35M","-0.21%"
"13-11-2022","61,795.04","61,188.13","61,840.97","60,425.47","50.72M","1.39%"
"06-11-2022","60,950.36","60,246.96","61,289.73","60,246.96","115.57M","1.65%"
"30-10-2022","59,959.85","59,804.02","60,133.17","59,489.02","36.57M","1.10%"
"23-10-2022","59,307.15","57,752.50","59,590.93","57,639.80","88.40M","2.39%"
"16-10-2022","57,919.97","57,424.07","58,435.12","57,050.40","86.00M","-0.47%"
"09-10-2022","58,191.29","57,403.92","58,578.76","56,683.40","31.31M","1.33%"
"02-10-2022","57,426.92","57,525.03","57,722.63","56,147.23","82.30M","-1.16%"
"25-09-2022","58,098.92","58,747.31","60,105.79","57,981.95","101.94M","-1.26%"
"18-09-2022","58,840.79","59,912.29","60,676.12","58,687.17","66.35M","-1.59%"
"11-09-2022","59,793.14","58,814.08","60,119.80","58,722.89","60.95M","1.68%"
"04-09-2022","58,803.33","57,367.47","59,599.78","57,367.47","57.25M","-0.05%"
"28-08-2022","58,833.87","59,361.08","59,484.35","58,172.48","54.24M","-1.36%"
"21-08-2022","59,646.15","59,675.12","60,411.20","59,474.57","32.33M","0.31%"
"14-08-2022","59,462.78","58,417.71","59,538.08","58,266.65","44.55M","1.84%"
"07-08-2022","58,387.93","57,823.10","58,712.66","57,540.36","113.39M","1.42%"
"31-07-2022","57,570.25","55,877.50","57,619.27","55,157.99","45.39M","2.67%"
"24-07-2022","56,072.23","54,069.30","56,186.05","54,034.97","90.79M","4.30%"
"17-07-2022","53,760.78","54,248.60","54,527.90","53,163.77","28.33M","-1.32%"
"10-07-2022","54,481.84","52,851.67","54,627.14","52,674.81","43.61M","2.97%"
"03-07-2022","52,907.93","53,468.89","53,509.50","52,094.25","28.88M","0.34%"
"26-06-2022","52,727.98","51,470.03","52,909.87","51,062.93","28.45M","2.66%"
"19-06-2022","51,360.42","53,184.61","53,207.54","50,921.22","37.79M","-5.42%"
"12-06-2022","54,303.44","55,610.64","55,832.28","54,205.99","24.72M","-2.63%"
"05-06-2022","55,769.23","55,507.75","56,432.65","55,091.43","33.34M","1.61%"
"29-05-2022","54,884.66","54,459.95","54,936.63","53,425.25","33.37M","1.03%"
"22-05-2022","54,326.39","52,946.32","54,786.00","52,632.48","34.76M","2.90%"
"15-05-2022","52,793.62","54,188.21","54,857.02","52,654.89","40.61M","-3.72%"
"08-05-2022","54,835.58","56,429.45","57,184.21","54,586.75","74.94M","-3.90%"
"01-05-2022","57,060.87","56,757.64","57,975.48","56,356.87","37.58M","-0.24%"
"24-04-2022","57,197.15","57,338.58","57,991.53","56,009.07","50.08M","-1.96%"
"17-04-2022","58,338.93","59,333.18","59,355.76","58,291.23","23.06M","-1.86%"
"10-04-2022","59,447.18","59,764.13","60,845.10","58,876.36","46.62M","0.29%"
"03-04-2022","59,276.69","57,472.72","59,396.62","56,825.09","35.44M","3.34%"
"27-03-2022","57,362.20","58,030.41","58,416.56","56,930.30","81.58M","-0.87%"
"20-03-2022","57,863.93","55,614.40","58,095.84","55,418.95","31.22M","4.16%"
"13-03-2022","55,550.30","53,172.51","56,242.47","52,260.82","66.95M","2.24%"
"06-03-2022","54,333.81","55,329.46","56,324.54","53,887.72","41.07M","-2.73%"
"27-02-2022","55,858.52","57,551.65","58,141.96","54,383.20","52.43M","-3.41%"
"20-02-2022","57,832.97","56,720.32","58,569.22","56,295.70","41.85M","-0.55%"
"13-02-2022","58,152.92","58,549.67","59,060.24","57,058.77","38.72M","-0.84%"
"06-02-2022","58,644.82","57,845.91","59,618.51","57,737.66","44.23M","2.53%"
"30-01-2022","57,200.23","59,023.97","59,023.97","56,409.63","44.53M","-3.11%"
"23-01-2022","59,037.18","61,219.64","61,475.15","58,620.93","46.43M","-3.57%"
"16-01-2022","61,223.03","60,070.39","61,348.57","59,987.18","36.55M","2.47%"
"09-01-2022","59,744.65","58,310.09","60,332.72","58,306.45","40.24M","2.56%"
"02-01-2022","58,253.82","56,948.33","58,409.30","56,543.08","30.66M","1.98%"
"26-12-2021","57,124.31","56,517.26","57,623.69","55,132.68","39.32M","0.20%"
"19-12-2021","57,011.74","59,103.72","59,203.37","56,950.98","34.00M","-3.02%"
"12-12-2021","58,786.67","57,778.01","58,889.96","56,687.62","45.05M","1.89%"
"05-12-2021","57,696.46","57,028.04","58,757.09","56,382.93","44.80M","1.03%"
"28-11-2021","57,107.15","59,710.48","59,778.37","56,993.89","46.45M","-4.24%"
"21-11-2021","59,636.01","60,837.40","61,036.56","59,376.50","41.14M","-1.73%"
"14-11-2021","60,686.69","60,385.76","60,750.72","59,656.26","34.17M","1.03%"
"07-11-2021","60,067.62","59,577.48","60,421.14","59,355.12","23.57M","1.28%"
"31-10-2021","59,306.93","61,398.75","61,576.85","59,089.37","43.73M","-2.49%"
"24-10-2021","60,821.62","61,817.32","62,245.43","60,485.65","85.46M","-0.79%"
"17-10-2021","61,305.95","60,099.68","61,353.25","59,811.42","70.06M","2.08%"
"10-10-2021","60,059.06","59,143.00","60,212.30","58,952.11","41.18M","2.20%"
"03-10-2021","58,765.58","60,303.79","60,412.32","58,551.14","62.47M","-2.14%"
"26-09-2021","60,048.47","58,634.69","60,333.00","58,232.54","101.58M","1.75%"
"19-09-2021","59,015.89","58,262.11","59,737.32","57,944.63","59.64M","1.22%"
"12-09-2021","58,305.07","58,411.62","58,553.07","57,924.48","23.70M","0.30%"
"05-09-2021","58,129.95","56,329.25","58,194.79","56,309.86","36.33M","3.57%"
"29-08-2021","56,124.72","55,695.84","56,198.13","55,240.29","34.92M","1.44%"
"22-08-2021","55,329.32","55,479.74","56,118.57","55,013.98","35.68M","-0.19%"
"15-08-2021","55,437.29","54,385.71","55,487.79","54,124.27","50.17M","2.14%"
"08-08-2021","54,277.72","52,901.28","54,717.24","52,804.08","53.16M","3.22%"
"01-08-2021","52,586.84","52,985.26","53,103.42","51,802.73","54.00M","-0.73%"
"25-07-2021","52,975.80","52,606.99","53,114.70","52,013.51","52.14M","-0.31%"
"18-07-2021","53,140.06","52,634.33","53,290.81","52,208.96","57.04M","1.44%"
"11-07-2021","52,386.19","52,682.89","53,129.37","52,228.01","35.33M","-0.19%"
"04-07-2021","52,484.67","53,126.73","53,126.73","52,177.68","37.11M","-0.83%"
"27-06-2021","52,925.04","51,887.55","53,057.11","51,740.19","52.36M","1.11%"
"20-06-2021","52,344.45","52,492.34","52,869.51","51,601.11","59.81M","-0.25%"
"13-06-2021","52,474.76","52,231.38","52,641.53","51,717.07","64.45M","0.72%"
"06-06-2021","52,100.05","51,476.22","52,389.02","51,179.94","73.92M","1.32%"
"30-05-2021","51,422.88","50,727.28","51,529.32","50,465.90","64.48M","1.75%"
"23-05-2021","50,540.48","48,990.70","50,591.12","48,923.13","74.72M","3.71%"
"16-05-2021","48,732.55","49,496.05","49,617.47","48,473.43","62.80M","-0.96%"
"09-05-2021","49,206.47","48,356.01","49,417.64","48,028.07","59.36M","0.87%"
"02-05-2021","48,782.36","48,197.37","50,375.77","48,152.24","72.19M","1.89%"
"25-04-2021","47,878.45","47,940.81","48,478.34","47,204.50","49.10M","-1.95%"
"18-04-2021","48,832.03","48,956.65","49,089.55","47,693.44","57.05M","-1.53%"
"11-04-2021","49,591.32","50,020.91","50,118.08","48,580.80","62.62M","-0.88%"
"04-04-2021","50,029.83","49,331.68","50,268.45","49,331.68","30.98M","2.08%"
"28-03-2021","49,008.50","49,878.77","50,264.65","48,236.35","59.07M","-1.70%"
"21-03-2021","49,858.24","50,773.47","50,857.98","48,586.93","70.94M","-1.84%"
"14-03-2021","50,792.08","50,654.02","51,821.84","50,318.26","48.02M","0.77%"
"07-03-2021","50,405.32","49,747.71","51,539.89","49,440.46","92.64M","2.66%"
"28-02-2021","49,099.99","50,910.51","51,386.12","48,890.48","133.57M","-3.52%"
"21-02-2021","50,889.76","51,907.75","52,516.76","50,624.33","82.74M","-1.27%"
"14-02-2021","51,544.30","51,146.67","51,835.86","50,846.22","84.91M","1.60%"
"07-02-2021","50,731.63","46,617.95","51,073.27","46,433.65","138.48M","9.61%"
"31-01-2021","46,285.77","49,253.68","49,263.15","46,160.46","74.54M","-5.30%"
"24-01-2021","48,878.54","49,061.22","50,184.01","48,403.97","77.55M","-0.32%"
"17-01-2021","49,034.67","49,252.31","49,795.19","48,795.79","100.19M","0.52%"
"10-01-2021","48,782.51","48,109.17","48,854.34","47,594.47","89.17M","1.91%"
"03-01-2021","47,868.98","47,153.59","47,980.36","47,148.24","60.19M","1.91%"
"27-12-2020","46,973.54","46,932.18","47,055.69","44,923.08","73.64M","0.03%"
"20-12-2020","46,960.69","46,284.70","47,026.02","45,841.67","77.97M","1.87%"
"13-12-2020","46,099.01","45,099.92","46,309.63","45,024.47","96.56M","2.26%"
"06-12-2020","45,079.55","44,435.83","45,148.28","44,118.10","90.35M","2.11%"
"29-11-2020","44,149.72","44,164.17","44,825.37","43,582.40","85.24M","0.61%"
"22-11-2020","43,882.25","44,095.85","44,230.00","43,453.75","80.41M","0.56%"
"15-11-2020","43,637.98","42,273.97","43,830.93","42,263.64","125.49M","4.17%"
"08-11-2020","41,893.06","39,880.38","41,954.93","39,334.92","119.19M","5.75%"
"01-11-2020","39,614.07","40,649.76","40,724.40","39,241.87","84.98M","-2.63%"
"25-10-2020","40,685.50","40,318.57","40,976.02","40,150.48","67.41M","1.76%"
"18-10-2020","39,982.98","40,716.95","41,048.05","39,667.47","85.01M","-1.30%"
"11-10-2020","40,509.49","38,956.78","40,585.36","38,819.89","72.75M","4.68%"
"04-10-2020","38,697.05","37,756.25","38,738.89","37,544.05","55.57M","3.50%"
"27-09-2020","37,388.66","38,812.69","38,990.76","36,495.98","73.52M","-3.75%"
"20-09-2020","38,845.82","39,073.51","39,359.51","38,573.17","63.66M","-0.02%"
"13-09-2020","38,854.55","38,284.78","38,978.52","37,935.26","66.27M","1.30%"
"06-09-2020","38,357.18","39,888.15","40,010.17","38,249.77","91.70M","-2.81%"
"30-08-2020","39,467.31","38,566.96","39,579.58","38,545.76","97.21M","2.69%"
"23-08-2020","38,434.72","38,062.07","38,788.51","37,734.14","80.47M","1.47%"
"16-08-2020","37,877.34","38,168.42","38,556.27","37,654.92","95.29M","-0.43%"
"09-08-2020","38,040.57","37,595.73","38,221.40","36,911.23","81.02M","1.15%"
"02-08-2020","37,606.89","38,275.34","38,617.03","37,431.68","86.68M","-1.37%"
"26-07-2020","38,128.90","37,409.03","38,235.73","37,185.78","104.58M","3.00%"
"19-07-2020","37,020.14","36,880.66","37,125.98","35,877.42","89.11M","1.16%"
"12-07-2020","36,594.33","36,313.46","36,828.43","36,234.17","106.11M","1.59%"
"05-07-2020","36,021.42","34,926.95","36,110.21","34,662.06","93.33M","2.42%"
"28-06-2020","35,171.27","34,892.03","35,706.55","34,499.78","126.29M","1.27%"
"21-06-2020","34,731.73","33,670.55","34,848.37","32,923.74","115.09M","2.81%"
"14-06-2020","33,780.89","34,841.17","34,927.80","32,348.10","104.37M","-1.48%"
"07-06-2020","34,287.24","32,906.05","34,488.69","32,876.55","159.36M","5.75%"
"31-05-2020","32,424.10","30,864.27","32,480.52","30,512.14","273.31M","5.71%"
"24-05-2020","30,672.59","31,248.26","31,248.26","29,968.45","90.48M","-1.37%"
"17-05-2020","31,097.73","32,030.34","32,845.48","30,770.48","87.81M","-1.72%"
"10-05-2020","31,642.70","32,748.14","32,748.14","31,158.75","92.46M","-6.15%"
"03-05-2020","33,717.62","31,659.04","33,887.25","31,651.58","65.50M","7.63%"
"26-04-2020","31,327.22","32,056.19","32,056.47","30,378.26","99.85M","-0.83%"
"19-04-2020","31,588.72","31,195.72","31,718.73","30,016.17","78.84M","1.38%"
"12-04-2020","31,159.62","28,898.36","31,227.97","28,602.31","65.34M","12.93%"
"05-04-2020","27,590.95","29,226.55","29,770.88","27,500.79","86.56M","-7.46%"
"29-03-2020","29,815.59","27,608.80","31,126.03","25,638.90","339.91M","-0.34%"
"22-03-2020","29,915.96","33,103.24","33,103.24","26,714.46","136.22M","-12.28%"
"15-03-2020","34,103.48","36,950.20","36,950.20","29,388.97","104.43M","-9.24%"
"08-03-2020","37,576.62","38,910.95","39,083.17","37,011.09","71.81M","-1.88%"
"01-03-2020","38,297.29","41,037.01","41,037.01","38,219.97","46.70M","-6.98%"
"23-02-2020","41,170.12","41,324.04","41,420.34","40,610.95","33.16M","-0.21%"
"16-02-2020","41,257.74","41,166.72","41,709.30","40,798.98","51.34M","0.28%"
"09-02-2020","41,141.85","39,701.02","41,405.43","39,563.07","70.09M","3.54%"
"02-02-2020","39,735.53","41,510.68","41,516.27","39,631.24","54.96M","-4.51%"
"26-01-2020","41,613.19","42,263.00","42,273.87","41,059.04","40.60M","-0.79%"
"19-01-2020","41,945.37","41,788.21","42,063.93","41,648.11","46.88M","0.83%"
"12-01-2020","41,599.72","41,378.34","41,775.11","40,476.55","59.78M","0.33%"
"05-01-2020","41,464.61","41,686.27","41,714.73","41,184.73","30.13M","-0.27%"
"29-12-2019","41,575.14","41,548.26","41,702.98","41,132.89","22.36M","-0.26%"
"22-12-2019","41,681.54","41,168.85","41,809.96","40,917.93","131.83M","1.64%"
"15-12-2019","41,009.71","40,527.24","41,055.80","40,135.37","188.65M","1.40%"
"08-12-2019","40,445.15","41,072.94","41,093.99","40,337.53","184.04M","-0.85%"
"01-12-2019","40,793.81","40,439.66","41,163.79","40,393.90","171.35M","1.08%"
"24-11-2019","40,359.41","40,431.08","40,816.38","40,221.97","143.59M","0.01%"
"17-11-2019","40,356.69","40,316.50","40,650.06","40,026.99","120.74M","0.08%"
"10-11-2019","40,323.61","40,293.85","40,749.33","40,037.53","218.40M","0.39%"
"03-11-2019","40,165.03","39,293.49","40,392.22","39,254.12","232.60M","2.83%"
"27-10-2019","39,058.06","39,233.40","39,426.47","38,718.27","180.67M","-0.61%"
"20-10-2019","39,298.38","38,208.24","39,361.06","38,066.13","171.74M","3.07%"
"13-10-2019","38,127.08","37,853.80","38,345.41","37,415.83","143.44M","1.20%"
"06-10-2019","37,673.31","38,873.12","38,923.78","37,633.36","236.45M","-2.96%"
"29-09-2019","38,822.57","38,844.00","39,441.12","38,510.97","187.96M","2.13%"
"22-09-2019","38,014.62","37,204.56","38,378.02","35,987.80","158.59M","1.68%"
"15-09-2019","37,384.99","36,969.48","37,435.15","36,784.47","123.70M","1.09%"
"08-09-2019","36,981.77","37,181.76","37,188.38","36,409.54","99.68M","-0.94%"
"01-09-2019","37,332.79","37,363.95","37,731.51","36,492.65","165.80M","1.72%"
"25-08-2019","36,701.16","37,485.92","37,718.88","36,102.35","138.50M","-1.74%"
"18-08-2019","37,350.33","37,755.16","37,755.16","36,888.49","77.19M","-0.62%"
"11-08-2019","37,581.91","36,842.17","37,807.55","36,416.79","132.04M","1.25%"
"04-08-2019","37,118.22","38,043.22","38,043.22","36,607.41","124.05M","-2.02%"
"28-07-2019","37,882.79","38,333.52","38,333.52","37,690.47","104.11M","-1.18%"
"21-07-2019","38,337.01","39,009.95","39,284.73","38,271.35","113.26M","-1.03%"
"14-07-2019","38,736.23","39,476.38","39,476.38","38,435.87","85.78M","-1.97%"
"07-07-2019","39,513.39","39,543.73","40,032.41","39,441.38","82.39M","0.30%"
"30-06-2019","39,394.64","39,160.23","39,817.22","38,946.04","64.14M","0.51%"
"23-06-2019","39,194.49","39,514.36","39,638.64","38,870.96","87.19M","-0.65%"
"16-06-2019","39,452.07","39,787.33","40,066.31","39,363.45","87.04M","-0.41%"
"09-06-2019","39,615.90","39,806.86","40,312.07","39,279.47","82.60M","-0.25%"
"02-06-2019","39,714.20","39,536.23","40,122.34","39,353.16","81.13M","0.71%"
"26-05-2019","39,434.72","38,701.18","40,124.96","38,570.04","113.35M","0.00%"
"19-05-2019","39,434.72","38,701.18","40,124.96","38,570.04","113.35M","3.96%"
"12-05-2019","37,930.77","37,491.30","38,001.13","36,956.10","92.31M","1.25%"
"05-05-2019","37,462.99","38,719.33","38,835.54","37,370.39","79.62M","-3.85%"
"28-04-2019","38,963.26","39,056.92","39,189.95","38,753.46","74.19M","-0.27%"
"21-04-2019","39,067.33","39,158.22","39,262.22","38,518.26","75.76M","-0.19%"
"14-04-2019","39,140.28","38,805.54","39,487.45","38,780.08","51.28M","0.96%"
"07-04-2019","38,767.11","38,993.60","39,041.25","38,460.25","75.49M","-0.24%"
"31-03-2019","38,862.23","38,858.88","39,270.14","38,581.04","88.06M","0.49%"
"24-03-2019","38,672.91","38,016.76","38,748.54","37,667.40","83.66M","1.33%"
"17-03-2019","38,164.61","38,132.96","38,564.71","37,952.10","66.87M","0.37%"
"10-03-2019","38,024.32","36,741.57","38,254.77","36,726.39","89.47M","3.69%"
"03-03-2019","36,671.43","36,141.07","36,830.25","35,926.94","70.71M","1.68%"
"24-02-2019","36,063.81","35,983.80","36,371.11","35,714.16","80.05M","0.54%"
"17-02-2019","35,871.48","35,831.18","35,983.07","35,287.16","70.50M","0.17%"
"10-02-2019","35,808.95","36,585.50","36,588.41","35,510.97","105.02M","-2.02%"
"03-02-2019","36,546.48","36,456.22","37,172.18","36,225.48","82.27M","0.21%"
"27-01-2019","36,469.43","36,099.62","36,778.14","35,375.51","104.24M","1.23%"
"20-01-2019","36,025.54","36,467.12","36,701.03","35,953.15","99.27M","-0.99%"
"13-01-2019","36,386.61","36,113.27","36,469.98","35,691.75","108.86M","1.05%"
"06-01-2019","36,009.84","35,971.18","36,269.31","35,753.95","87.67M","0.88%"
"30-12-2018","35,695.10","36,239.19","36,285.46","35,382.08","81.61M","-1.06%"
"23-12-2018","36,076.72","35,859.66","36,194.78","35,010.82","54.52M","0.94%"
"16-12-2018","35,742.07","36,129.13","36,554.99","35,694.74","95.78M","-0.61%"
"09-12-2018","35,962.93","35,204.66","36,095.56","34,426.29","107.42M","0.81%"
"02-12-2018","35,673.25","36,396.69","36,446.16","35,266.76","114.30M","-1.44%"
"25-11-2018","36,194.30","35,118.09","36,389.22","34,896.07","133.52M","3.47%"
"18-11-2018","34,981.02","35,647.62","35,818.83","34,937.98","60.81M","-1.34%"
"11-11-2018","35,457.16","35,287.49","35,545.85","34,672.20","94.99M","0.85%"
"04-11-2018","35,158.55","35,118.62","35,302.25","34,811.60","59.80M","0.42%"
"28-10-2018","35,011.65","33,549.88","35,190.20","33,341.80","134.87M","4.98%"
"21-10-2018","33,349.31","34,689.39","34,748.69","33,291.58","90.24M","-2.82%"
"14-10-2018","34,315.63","34,971.83","35,605.43","34,140.32","58.94M","-1.20%"
"07-10-2018","34,733.58","34,412.36","34,858.35","33,723.53","141.28M","1.04%"
"30-09-2018","34,376.99","36,274.25","36,616.64","34,202.22","92.68M","-5.11%"
"23-09-2018","36,227.14","36,924.72","36,945.50","35,985.63","109.67M","-1.67%"
"16-09-2018","36,841.60","38,027.81","38,027.81","35,993.64","76.12M","-3.28%"
"09-09-2018","38,090.64","38,348.39","38,354.52","37,342.00","59.98M","-0.78%"
"02-09-2018","38,389.82","38,915.91","38,934.35","37,774.42","69.83M","-0.66%"
"26-08-2018","38,645.07","38,472.03","38,989.65","38,416.73","62.78M","1.03%"
"19-08-2018","38,251.80","38,075.07","38,487.63","38,050.69","43.77M","0.80%"
"12-08-2018","37,947.88","37,693.19","38,022.32","37,559.26","47.01M","0.21%"
"05-08-2018","37,869.23","37,714.70","38,076.23","37,586.88","70.76M","0.83%"
"29-07-2018","37,556.16","37,491.39","37,711.87","37,128.99","75.81M","0.59%"
"22-07-2018","37,336.85","36,501.05","37,368.62","36,491.83","65.20M","2.30%"
"15-07-2018","36,496.37","36,658.71","36,747.87","36,261.78","64.89M","-0.12%"
